,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
109,I (myself)'s emotion is disgusted.,Friend's motivation is to be helpful.,[immoral_consequence] My friend's baby was thrown up and thrown up.,It's wrong to throw up on your child.,I (myself)'s emotion is upset.,I (myself)'s motivation is to be safe.,[immoral_consequence] My friend's baby was thrown up and taken to the hospital.,It's wrong to throw up on your child.
110,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I was diagnosed with stage 4 cancer and was unable to get it.,It's good to be heartbroken when you are diagnosed with cancer.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a doctor.,[immoral_consequence] I was shocked when I found out that I had cancer.,It's good to be happy when you find out you have cancer.
111,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My girlfriend's ex-girlfriend is upset and resents me for making the mistake.,It's wrong to call your girlfriend's ex-girlfriend's name.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My girlfriend was upset and resents me for not calling her.,It's good to be happy when someone calls you names.
112,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good investor.,[immoral_consequence] I was unable to pay for the money that was lost.,It's wrong to lose money.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I feel like my life is over and I feel sad.,It's good to be grateful for your loss.
113,.,.,[immoral_consequence] The other car was unable to get the car back.,It's good to avoid other cars.,.,The car's motivation is to be safe.,[immoral_consequence] The car screams and screams at the toy.,It's good to have a toy.
114,I (myself)'s emotion is sad.,I (myself)'s motivation is to be loved.,[immoral_consequence] My mom is upset and feels sad.,It's okay to forget about your parents birthday.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be loved.,[immoral_consequence] My mom is so upset that she doesn't want to be around her and is so upset that she doesn't want to be around her.,It's good to be mad at your parents.
115,I (myself)'s emotion is proud.,.,[moral_consequence] You're able to make a big impact and be successful in the tech field.,It's good to be successful in the tech field.,.,.,[moral_consequence] The tech industry is able to make a splash in the tech field.,It's good to make a splash in the tech field.
116,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The coworker is offended and resents me for not being able to do anything.,It's good to be frustrated with your coworkers.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My coworker was annoyed with me and resents me for not being able to help.,It's good to be honest with your coworkers.
117,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be vegan.,[immoral_consequence] I was unable to find a recipe that was not vegan and was unable to find a recipe.,It's good to try new recipes.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to try something new.,[immoral_consequence] I was so upset that the recipe turned out to be a bad one.,It's good to try out vegan cookies.
118,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good actor.,[immoral_consequence] I was unable to get to the doctor for the failure of the act.,It's good to be honest with others.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be a good performer.,[immoral_consequence] I was unable to get to the stage and was unable to play with the audience.,It's good to perform well.
119,Roommate's emotion is disgusted.,Roommate's motivation is to be safe.,[immoral_consequence] I was humiliated and reprimanded by the police.,It's wrong to be angry with your roommate.,Roommate's emotion is happy.,Roommate's motivation is to be helpful.,[immoral_consequence] I was unable to get a burger and was unable to get a burger.,It's good to be happy when you're eat your roommate's ice cream.
120,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I don't know how to move on and don't get to know anyone.,It's good to be honest with your friends.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be alone.,[immoral_consequence] I feel lonely and lost.,It's good to be supportive of your friends.
121,.,Tom's motivation is to be a good man.,[moral_consequence] The man was able to get his attention.,It's good to wait for things.,.,.,[immoral_consequence] The leopard pounced and screamed at him.,It's good to be prepared for a situation.
122,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good girl.,[immoral_consequence] I was unable to remember her parents when she was young.,It's good to remember your children.,I (myself)'s emotion is happy.,.,[immoral_consequence] The people around me were unable to remember the old lore.,It's good to remember your past.
123,.,.,[immoral_consequence] The man's smell is irritated and irritated.,It's good to smell things.,.,.,[immoral_consequence] The man's smell is irritated and irritated.,It's good to smell like an old book.
124,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to pay my bills.,It's good to be aware of your light bill.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm disappointed that my bill was not the beginning of the month.,It's good to be generous.
125,I (myself)'s emotion is happy.,I (myself)'s motivation is to be wealthy.,[moral_consequence] I have a wealth of living and feel better.,It's good to live wealth.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a CEO.,[immoral_consequence] I'm a jerk and a jerk.,It's good to live like a CEO.
126,I (myself)'s emotion is sad.,I (myself)'s motivation is to clean the house.,[immoral_consequence] The raccoon is a bit sick and ill from the rash.,It's good to clean your shed.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The raccoon was rescued and the raccoon was rescued.,It's good to find dead raccoons.
127,I (myself)'s emotion is sad.,I (myself)'s motivation is to be accepted.,[immoral_consequence] I was unable to get accepted and resentful of the college.,It's good to be able to get accepted.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good student.,[immoral_consequence] I was unable to get accepted into college.,It's good to be a part of your dream life.
128,.,.,[immoral_consequence] The guy's taco is ruined and he is unable to eat.,It's good to make a recipe for your favorite dish.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be respectful.,[moral_consequence] The guy's taco was nice and I was happy to hug him.,It's good to hug people for their taste.
129,Mom's emotion is annoyed.,Mom's motivation is to do something nice.,[immoral_consequence] My mom ripped the project and ripped it.,It's wrong to ripped your art project.,I (myself)'s emotion is sad.,Mom's motivation is to be helpful.,[immoral_consequence] My mom was unable to complete the project without permission.,It's good to be relieved when your parents destroy your art project.
130,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to find a new home and was unable to find a new one.,It's good to be careful when you break your home.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to find a new home and was unable to find a new one.,It's good to be on vacation.
131,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to get a coffee.,[immoral_consequence] My boss got angry with me for towing my car.,It's good to get coffee for your boss.,I (myself)'s emotion is happy.,I (myself)'s motivation is to get coffee.,[immoral_consequence] I have to pay a hefty fee for the car towed.,It's good to get your car towed.
